month,year,location,stringency_index
6,2021,Kyrgyzstan,57.41
6,2021,Laos,74.07
6,2021,Lebanon,71.17
6,2021,Macao,28.7
6,2021,Malaysia,80.56
6,2021,Maldives,
6,2021,Mongolia,59.26
6,2021,Myanmar,72.22
6,2021,Nepal,94.44
6,2021,North Korea,
6,2021,Northern Cyprus,
6,2021,Oman,75.0
6,2021,Pakistan,68.98
6,2021,Palestine,88.89
6,2021,Philippines,74.54
6,2021,Qatar,68.11
6,2021,Saudi Arabia,53.7
6,2021,Singapore,58.33
6,2021,South Korea,50.0
6,2021,Sri Lanka,85.19
6,2021,Syria,46.76
6,2021,Taiwan,74.07
6,2021,Tajikistan,35.19
6,2021,Thailand,59.26
6,2021,Timor,64.35
6,2021,Turkey,64.81
6,2021,Turkmenistan,
6,2021,United Arab Emirates,61.11
6,2021,Uzbekistan,50.0
6,2021,Vietnam,77.31
6,2021,Yemen,37.96
6,2022,Afghanistan,11.11
6,2022,Armenia,
6,2022,Azerbaijan,46.05
6,2022,Bahrain,11.11
6,2022,Bangladesh,13.89
6,2022,Bhutan,22.22
6,2022,Brunei,14.3
6,2022,Cambodia,17.99
6,2022,China,79.17
6,2022,Georgia,13.89
6,2022,Hong Kong,47.29
6,2022,India,37.04
6,2022,Indonesia,43.73
6,2022,Iran,57.2
6,2022,Iraq,41.49
6,2022,Israel,14.81
6,2022,Japan,43.08
6,2022,Jordan,20.37
6,2022,Kazakhstan,13.89
6,2022,Kuwait,11.11
6,2022,Kyrgyzstan,36.11
6,2022,Laos,42.37
6,2022,Lebanon,26.85
6,2022,Macao,78.7
6,2022,Malaysia,14.45
6,2022,Maldives,
6,2022,Mongolia,11.11
6,2022,Myanmar,58.73
6,2022,Nepal,25.73
6,2022,North Korea,
6,2022,Northern Cyprus,
6,2022,Oman,11.11
6,2022,Pakistan,42.62
6,2022,Palestine,22.22
6,2022,Philippines,30.77
6,2022,Qatar,32.6
6,2022,Saudi Arabia,40.83
6,2022,Singapore,28.35
6,2022,South Korea,14.28
6,2022,Sri Lanka,26.86
6,2022,Syria,26.85
6,2022,Taiwan,26.85
6,2022,Tajikistan,8.33
6,2022,Thailand,30.09
6,2022,Timor,15.27
6,2022,Turkey,11.11
6,2022,Turkmenistan,
6,2022,United Arab Emirates,32.26
6,2022,Uzbekistan,25.0
6,2022,Vietnam,25.93
6,2022,Yemen,25.93
7,2020,Afghanistan,78.7
7,2020,Armenia,
7,2020,Azerbaijan,96.3
7,2020,Bahrain,75.0
7,2020,Bangladesh,80.09
7,2020,Bhutan,71.3
7,2020,Brunei,49.07
7,2020,Cambodia,49.07
7,2020,China,78.24
7,2020,Georgia,58.33
7,2020,Hong Kong,66.67
7,2020,India,87.5
7,2020,Indonesia,62.5
7,2020,Iran,61.57
7,2020,Iraq,96.3
7,2020,Israel,75.93
7,2020,Japan,34.26
7,2020,Jordan,48.15
7,2020,Kazakhstan,83.33
7,2020,Kuwait,83.33
7,2020,Kyrgyzstan,79.17
7,2020,Laos,20.37
7,2020,Lebanon,68.52
7,2020,Macao,23.15
7,2020,Malaysia,50.93
7,2020,Maldives,
7,2020,Mongolia,71.3
7,2020,Myanmar,80.56
7,2020,Nepal,92.59
7,2020,North Korea,
7,2020,Oman,100.0
7,2020,Pakistan,66.67
7,2020,Palestine,83.33
7,2020,Philippines,79.63
7,2020,Qatar,80.56
7,2020,Saudi Arabia,71.3
7,2020,Singapore,56.48
7,2020,South Korea,56.94
7,2020,Sri Lanka,53.7
7,2020,Syria,69.44
7,2020,Taiwan,23.15
7,2020,Tajikistan,52.78
7,2020,Thailand,52.78
7,2020,Timor,29.63
7,2020,Turkey,63.89
7,2020,United Arab Emirates,72.22
7,2020,Uzbekistan,73.15
7,2020,Vietnam,79.63
7,2020,Yemen,63.89
7,2021,Afghanistan,56.02
7,2021,Armenia,
7,2021,Azerbaijan,65.15
7,2021,Bahrain,66.67
7,2021,Bangladesh,93.52
7,2021,Bhutan,63.43
7,2021,Brunei,40.74
7,2021,Cambodia,83.8
7,2021,China,81.94
7,2021,Georgia,25.0
7,2021,Hong Kong,71.3
7,2021,India,81.94
7,2021,Indonesia,71.76
7,2021,Iran,68.06
7,2021,Iraq,75.93
7,2021,Israel,37.63
7,2021,Japan,53.24
7,2021,Jordan,51.85
7,2021,Kazakhstan,71.3
7,2021,Kuwait,66.57
7,2021,Kyrgyzstan,57.41
7,2021,Laos,60.19
7,2021,Lebanon,65.52
7,2021,Macao,31.48
7,2021,Malaysia,85.19
7,2021,Maldives,
7,2021,Mongolia,61.11
7,2021,Myanmar,69.91
7,2021,Nepal,68.52
7,2021,North Korea,
7,2021,Northern Cyprus,
7,2021,Oman,77.78
7,2021,Pakistan,69.44
7,2021,Palestine,88.89
7,2021,Philippines,71.76
7,2021,Qatar,59.84
7,2021,Saudi Arabia,53.7
7,2021,Singapore,54.63
7,2021,South Korea,49.07
7,2021,Sri Lanka,81.48
7,2021,Syria,32.87
7,2021,Taiwan,74.07
7,2021,Tajikistan,35.19
7,2021,Thailand,72.22
7,2021,Timor,63.81
7,2021,Turkey,55.56
7,2021,Turkmenistan,
7,2021,United Arab Emirates,59.33
7,2021,Uzbekistan,68.52
7,2021,Vietnam,79.17
7,2021,Yemen,37.96
7,2022,Afghanistan,11.11
7,2022,Armenia,
7,2022,Azerbaijan,40.37
7,2022,Bahrain,11.11
7,2022,Bangladesh,13.89
7,2022,Bhutan,22.22
7,2022,Brunei,13.97
7,2022,Cambodia,17.99
7,2022,China,73.61
7,2022,Georgia,11.11
7,2022,Hong Kong,47.19
7,2022,India,37.04
7,2022,Indonesia,29.94
7,2022,Iran,54.03
7,2022,Iraq,41.45
7,2022,Israel,14.81
7,2022,Japan,37.52
7,2022,Jordan,14.81
7,2022,Kazakhstan,11.11
